"gameID","gameName","genre","price","description","imageURL"
"game0001","Wii Sports","Sports",32.99,"Platform: Wii;  Publisher: Nintendo",""
"game0002","Finding Nemo","Action",48.99,"Platform: GBA;  Publisher: THQ",""
"game0003","Mario Kart Wii","Racing",49.99,"Platform: Wii;  Publisher: Nintendo",""
"game0004","Wii Sports Resort","Sports",34.99,"Platform: Wii;  Publisher: Nintendo",""
"game0005","Pokemon Red/Pokemon Blue","Role-Playing",22.99,"Platform: GB;  Publisher: Nintendo",""
"game0006","Genshin Impact","Adventure",49.99,"Platform: GB;  Publisher: HoYoverse",""
"game0007","New Super Mario Bros.","Platform",29.99,"Platform: DS;  Publisher: Nintendo",""
"game0008","Wii Play","Misc",43.99,"Platform: Wii;  Publisher: Nintendo",""
"game0009","New Super Mario Bros. Wii","Platform",47.99,"Platform: Wii;  Publisher: Nintendo",""
"game0010","Duck Hunt","Shooter",37.99,"Platform: NES;  Publisher: Nintendo",""
"game0011","Nintendogs","Simulation",20.99,"Platform: DS;  Publisher: Nintendo",""
"game0012","Mario Kart DS","Racing",33.99,"Platform: DS;  Publisher: Nintendo",""
"game0013","Pokemon Gold/Pokemon Silver","Role-Playing",26.99,"Platform: GB;  Publisher: Nintendo",""
"game0014","Wii Fit","Sports",49.99,"Platform: Wii;  Publisher: Nintendo",""
"game0015","Wii Fit Plus","Sports",35.99,"Platform: Wii;  Publisher: Nintendo",""
"game0016","Kinect Adventures!","Misc",30.99,"Platform: X360;  Publisher: Microsoft Game Studios",""
"game0017","Roblox","Misc",34.99,"Platform: Multi;  Publisher: Valve Corporation",""
"game0018","Grand Theft Auto: San Andreas","Action",29.99,"Platform: PS2;  Publisher: Take-Two Interactive",""
"game0019","Counter-Strike","Shooter",34.99,"Platform: Multi;  Publisher: Roblox Corporation",""
"game0020","Brain Age: Train Your Brain in Minutes a Day","Misc",40.99,"Platform: DS;  Publisher: Nintendo",""
"game0021","Pokemon Diamond/Pokemon Pearl","Role-Playing",47.99,"Platform: DS;  Publisher: Nintendo",""
"game0022","Super Mario Land","Platform",23.99,"Platform: GB;  Publisher: Nintendo",""
"game0023","Dota 2","Shooter",24.99,"Platform: Multi;  Publisher: Valve Corporation",""
"game0024","Destiny 2","Shooter",23.99,"Platform: Multi;  Publisher: Bungie",""
"game0025","Grand Theft Auto: Vice City","Action",27.99,"Platform: PS2;  Publisher: Take-Two Interactive",""
"game0026","Pokemon Ruby/Pokemon Sapphire","Role-Playing",29.99,"Platform: GBA;  Publisher: Nintendo",""
"game0027","Pokemon Black/Pokemon White","Role-Playing",47.99,"Platform: DS;  Publisher: Nintendo",""
"game0028","Brain Age 2: More Training in Minutes a Day","Puzzle",27.99,"Platform: DS;  Publisher: Nintendo",""
"game0029","Gran Turismo 3: A-Spec","Racing",15.99,"Platform: PS2;  Publisher: Sony Computer Entertainment",""
"game0030","Halo","Shooter",24.99,"Platform: Multi;  Publisher: Xbox",""
